PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
| NCFwR#20  | 6  |  Reuters-R8:6  |        1.0         | 1.760513999179878  |  1.08710962727639  | 1.0489444475797034 |
| NCFwR#20  | 6  |    WebKB:6     |        1.0         | 1.2433431998715256 | 1.0258505684066592 | 1.0170781145474665 |
| NCFwR#20  | 12 | 20Newsgroup:12 | 1.1573449224191992 | 1.1326857310471894 |        1.0         | 1.0945933690087593 |
| NCFwR#20  | 12 |  BBCSport:12   | 3.1569411779186813 | 1.340831808217845  |        1.0         | 1.2275511854208203 |
| NCFwR#20  | 12 | Reuters-R8:12  | 1.0004173893281294 | 1.708521764529106  |        1.0         | 1.0779852312325315 |
| NCFwR#20  | 12 |    WebKB:12    |        1.0         | 1.1815641901129632 | 1.0868387332979443 | 1.0829898843190455 |
| NCFwR#20  | 24 | 20Newsgroup:24 |        1.0         | 1.2400726708767706 | 1.147499310861903  | 1.067369683819523  |
| NCFwR#20  | 24 |  BBCSport:24   | 3.626405096556897  | 1.3176747108055151 |        1.0         | 1.368291156336303  |
| NCFwR#20  | 24 | Reuters-R8:24  | 1.012744393699285  | 1.5735575379814482 |        1.0         |   1.227586861744   |
| NCFwR#20  | 24 |    WebKB:24    |        1.0         | 1.2647455410056425 | 1.098894757280411  | 1.0777854104900393 |
| NCFwR#20  | 48 | 20Newsgroup:48 |        1.0         | 1.1917672808544273 | 1.3412542025714993 | 1.0095600608777748 |
| NCFwR#20  | 48 |  BBCSport:48   | 3.4463722684867166 | 1.3390268778300485 |        1.0         | 1.500111391955327  |
| NCFwR#20  | 48 | Reuters-R8:48  | 1.0416457061058957 | 1.6107692238010238 |        1.0         | 1.0598058020805272 |
| NCFwR#20  | 48 |    WebKB:48    |        1.0         | 1.1813558902506076 | 1.1526388916906671 | 1.1148593628740253 |
| NCFwR#30  | 3  | 20Newsgroup:3  | 1.2292610915514095 | 1.3380207637531623 |        1.0         | 1.1003497694241124 |
| NCFwR#30  | 3  |   BBCSport:3   | 1.4931851134252094 | 1.2530991586890607 |        1.0         | 1.2147875161756665 |
| NCFwR#30  | 3  |  Reuters-R8:3  | 1.0368720292829856 | 1.6994600220353633 | 1.1155069818701628 |        1.0         |
| NCFwR#30  | 3  |    WebKB:3     |        1.0         | 1.2544572783118177 | 1.0393674548140346 | 1.0199560719531946 |
| NCFwR#30  | 6  | 20Newsgroup:6  | 1.2000589859139974 | 1.1335010299235402 |        1.0         | 1.1616810941575813 |
| NCFwR#30  | 6  |   BBCSport:6   | 3.7669030037686198 | 2.4544845852334873 |        1.0         | 1.9856733406063194 |
| NCFwR#30  | 6  |  Reuters-R8:6  | 1.0093086891500012 | 1.7491398366505877 |        1.0         | 1.0176464523115554 |
| NCFwR#30  | 6  |    WebKB:6     |        1.0         | 1.204716156583176  | 1.0305616951254115 | 1.012748427361529  |
| NCFwR#30  | 12 | 20Newsgroup:12 | 1.1468983348151967 | 1.3005901546067555 |        1.0         | 1.1091643620720397 |
| NCFwR#30  | 12 |  BBCSport:12   | 3.0086264708125277 | 1.4017691751136814 |        1.0         | 1.163902255826476  |
